words,sentiment_coeff
t,-1.7676958819012583
h,-1.4145151458873604
i,-1.7113236587314395
s,-1.3926762431518236
 ,-2.1966502128968677
o,-1.765090461846892
w,1.1669295428251198
n,-1.5349982333807732
g,-1.4588941104470454
k,1.155760025308068
â€™,1.0673697964533735
a,-1.6863477173389068
l,-1.2670662499666334
e,-1.572162011902007
c,-1.159477068643645
u,-1.4325211675415757
r,-1.6193253858478445
y,1.149957704823464
v,1.135931379176507
b,-1.1745244176536547
f,-1.2765131156371357
d,-1.4120052957165536
x,1.036998152858179
â€¦,-1.52720323856501
ğŸ‡©,-0.9717327451592609
ğŸ‡ª,-0.9167624266776262
p,-1.2371831968316287
m,-1.2837944268032908
j,1.1364899243208708
z,1.0598770957631891
â€œ,1.0073250221911965
â€,1.0138746523199662
q,1.0438407614486769
â›°,1.0098830994712509
ğŸ“•,1.0340576748224037
ğŸ‘‡,1.1416302020830449
ğŸ»,0.9849074175506158
â€¼,1.1770309307890192
ï¸,0.9791334251991212
ğŸ‘¿,1.1870774168726241
ğŸ˜±,1.1414279786249755
ï½œ,1.0132052598528674
â€˜,1.0904192356987268
â‰ ,1.0428331692445885
â¤,0.9925039508396117
ğŸ‘‰,0.9899594249687578
ğŸ’›,1.0220579102920113
ğŸ‡¨,1.1274449451921527
ğŸ™,0.9941657953007077
ğŸ¼,1.1370974998761036
â¦,1.0178153310181588
â©,1.0294322322500666
ğŸ‡¯,1.0131851761044914
ğŸ‡µ,0.9857277729923873
ğŸ¥º,1.1249577454437714
æ,1.0645798485318858
æŸ±,1.036365692922115
éŠ˜,0.9909611872879649
ğŸŒ,1.007720325877433
ğŸ‡­,1.0145987503126859
ğŸ‡°,1.0327112028992906
ğŸŒ,1.1507677055923302
ğŸ‘,1.1472862175893008
